title,genre_id,platform_id,publisher_id,metacritic_score,release_date
Grand Theft Auto V,1,1,1,94,2013-09-17
Grand Theft Auto V,1,2,1,97,2014-11-18
Grand Theft Auto: Vice City,1,3,1,96,2002-10-28
Call of Duty: Black Ops 3,2,2,2,81,2015-11-06
Call of Duty: Modern Warfare 3,2,4,2,87,2011-11-08
Call of Duty: Black Ops,2,4,2,88,2010-11-09
Red Dead Redemption 2,3,2,1,98,2018-10-26
Call of Duty: Black Ops II,2,4,2,84,2012-11-13
Call of Duty: Black Ops II,2,1,2,80,2012-11-13
Call of Duty: Modern Warfare 2,2,4,2,95,2009-11-10
Call of Duty: WWII,2,2,2,81,2017-11-03
Call of Duty: Modern Warfare 3,2,1,2,88,2011-11-08
Grand Theft Auto III,1,3,1,95,2001-10-23
Call of Duty: Black Ops,2,1,2,87,2010-11-09
FIFA 18,4,2,3,83,2017-09-29
Grand Theft Auto IV,1,4,1,100,2008-04-29
FIFA 17,4,2,4,89,2016-09-27
Call of Duty: Modern Warfare 2,2,1,2,95,2009-11-10
Grand Theft Auto IV,1,1,1,100,2008-04-29
Call of Duty: Ghosts,2,4,2,69,2013-11-05
Call of Duty: Ghosts,2,1,2,75,2013-11-05
Halo: Reach,2,4,5,93,2010-09-14
Call of Duty 4: Modern Warfare,2,4,2,96,2007-11-05
The Elder Scrolls V: Skyrim,5,4,7,93,2011-11-11
Grand Theft Auto V,1,5,1,90,2014-11-18
Call of Duty: Infinite Warfare,2,2,2,79,2016-11-04
Fallout 4,5,2,7,86,2015-11-10
FIFA 16,4,2,3,85,2015-09-22
Star Wars Battlefront (2015),2,2,4,71,2015-11-17
The Sims 3,6,6,4,85,2009-06-02
Grand Theft Auto: Liberty City Stories,1,7,1,88,2005-10-25
Call of Duty: Advanced Warfare,2,2,2,85,2014-11-04
Call of Duty: World at War,2,4,2,85,2008-11-10
Battlefield 3,2,4,4,85,2011-10-25
Battlefield 1,2,2,4,91,2016-10-21
Battlefield 3,2,1,4,85,2011-10-25
Need for Speed Underground,7,3,4,86,2003-11-17
Need for Speed Underground 2,7,3,4,83,2004-11-15
Medal of Honor: Frontline,2,3,4,90,2002-05-28
Uncharted 2: Among Thieves,1,1,9,95,2009-10-13
Call of Duty 4: Modern Warfare,2,1,2,95,2007-11-05
FIFA Soccer 12,4,1,3,92,2011-09-27
Red Dead Redemption,1,1,1,95,2011-10-11
Red Dead Redemption,1,4,1,95,2010-05-18
Assassin's Creed III,3,1,8,88,2012-10-30
The Elder Scrolls V: Skyrim,5,1,7,90,2011-11-11
Minecraft,8,2,9,94,2014-10-07
FIFA 15,4,2,3,81,2014-09-23
Driver,1,9,10,85,1999-06-30
Tekken 2,9,9,12,91,1996-08-25
LEGO Star Wars: The Complete Saga,1,8,13,80,2007-11-06
Cooking Mama,6,10,14,66,2006-09-12
Assassin's Creed II,1,1,8,90,2009-11-17
Assassin's Creed,1,4,8,82,2007-11-13
Batman: Arkham City,1,1,15,96,2011-10-18
Forza Motorsport 3,7,4,5,92,2009-10-27
Call of Duty: World at War,2,1,2,84,2008-11-10
Crash Bandicoot: The Wrath of Cortex,10,3,16,69,2001-10-29
Final Fantasy XIII,5,1,17,80,2010-03-09
Assassin's Creed II,1,4,8,91,2009-11-17
Tomb Raider II,11,9,18,76,1997-10-31
Madden NFL 2004,4,3,3,95,2003-08-12
Call of Duty: Advanced Warfare,2,5,2,83,2014-11-04
Medal of Honor: Rising Sun,2,3,4,59,2003-11-11
Battlefield 1,2,5,4,93,2016-10-21
Microsoft Flight Simulator,6,6,19,70,1996-10-31
Guitar Hero II,8,3,20,92,2006-11-07
Mario & Sonic at the Olympic Games,4,10,21,70,2008-01-22
Fable III,5,4,5,78,2010-10-26
Resident Evil 5,1,1,22,86,2009-03-13
FIFA Soccer 11,4,1,3,87,2010-09-28
Grand Theft Auto: Vice City Stories,1,7,1,84,2006-10-31
Final Fantasy XV,5,2,17,81,2016-11-29
Fallout 4,5,5,7,84,2015-11-10
Tony Hawk's Pro Skater,4,9,2,96,1999-08-31
Guitar Hero III: Legends of Rock,8,3,20,82,2007-10-28
Uncharted: Drake's Fortune,1,1,9,87,2007-11-16
Fallout 3,5,4,7,90,2008-10-28
Madden NFL 06,4,3,3,91,2005-08-08
Assassin's Creed,1,1,8,82,2007-11-13
Crash Team Racing,7,9,9,92,1999-09-30
LEGO Star Wars: The Complete Saga,1,10,13,78,2007-11-06
Batman: Arkham City,1,4,15,95,2011-10-18
Driver 2,1,9,23,70,2000-11-13
The Simpsons: Hit & Run,7,3,24,77,2003-09-16
Tony Hawk's Pro Skater 2,4,9,2,93,2000-09-20
The Lord of the Rings: The Two Towers,1,3,4,83,2002-10-21
Tomb Raider,1,9,18,89,1996-11-14
Forza Motorsport 4,7,4,6,91,2011-10-11
Guitar Hero III: Legends of Rock,8,8,20,86,2007-10-28
FIFA 15,4,1,3,69,2014-09-23
Mario & Sonic at the Olympic Winter Games,4,8,21,68,2009-10-13
Overwatch,2,2,25,88,2016-05-24
Guitar Hero III: Legends of Rock,8,4,20,87,2007-10-28
Madden NFL 2005,4,3,3,95,2004-08-09
Spider-Man: The Movie,1,3,2,82,2002-04-15
The Elder Scrolls IV: Oblivion,5,4,26,92,2009-07-07
Tony Hawk's Pro Skater 3,4,3,2,91,2001-10-28
Winning Eleven: Pro Evolution Soccer 2007,4,3,27,88,2007-02-06
Need for Speed: Most Wanted,7,3,4,86,2005-11-15
Michael Jackson: The Experience,8,8,8,56,2010-11-23
Call of Duty: Advanced Warfare,2,4,2,91,2014-11-04
Batman: Arkham Asylum,1,1,18,90,2009-08-25
Call of Duty: Advanced Warfare,2,1,2,91,2014-11-04
Assassin's Creed: Revelations,1,1,8,88,2011-11-15
Assassin's Creed: Revelations,1,4,8,79,2011-11-15
FIFA Soccer 06,4,3,3,84,2005-10-04
Street Fighter IV,9,1,22,93,2009-02-17
FIFA Soccer 12,4,4,3,92,2011-09-27
Call of Duty: Ghosts,2,2,2,75,2013-11-15
Teenage Mutant Ninja Turtles,10,13,28,59,1989-06-01
Star Wars Battlefront (2015),2,5,4,69,2015-11-17
Madden NFL 2003,4,3,3,94,2002-08-12
FIFA 07 Soccer,4,3,3,84,2006-10-03
Batman: Arkham Knight,1,2,15,81,2015-06-23
The Sims 4,6,6,4,70,2014-09-02
Fallout: New Vegas,5,4,7,82,2010-10-19
Carnival Games,8,8,30,42,2007-08-28
Far Cry 4,2,2,8,84,2014-11-18
World Soccer Winning Eleven 9,4,3,27,89,2006-02-07
Forza Motorsport 2,7,4,5,91,2007-05-29
Tekken Tag Tournament,9,3,12,87,2000-10-25
Fallout 3,5,1,7,88,2008-10-28
The Elder Scrolls V: Skyrim,5,6,7,92,2011-11-11
NBA 2K16,4,2,31,87,2015-09-29
Far Cry 5,1,2,8,79,2018-03-27
Battlefield 4,2,2,4,83,2013-11-15
Assassin's Creed IV: Black Flag,3,1,8,87,2013-10-29
Tony Hawk's Underground,4,3,2,87,2003-10-27
Just Dance 2014,12,8,8,74,2013-10-08
Sports Champions,4,1,9,76,2010-09-17
World Soccer Winning Eleven 8 International,4,3,27,93,2005-02-01
LEGO Indiana Jones: The Original Adventures,11,4,13,75,2008-06-03
The Sims: Unleashed,6,6,4,73,2002-09-23
Ratchet & Clank: Size Matters,10,7,9,85,2007-02-13
FIFA 17,4,5,4,88,2016-09-27
FIFA Soccer 2005,4,3,3,84,2004-10-12
Tony Hawk's Pro Skater 4,4,3,2,96,2002-10-23
MySims,6,10,4,67,2007-09-18
Midnight Club 3: DUB Edition,7,7,1,72,2005-06-27
SOCOM: U.S. Navy SEALs,2,3,9,80,2002-08-27
Battlefield 4,2,1,4,87,2013-10-29
Jak and Daxter: The Precursor Legacy,10,3,9,90,2001-12-04
Pro Evolution Soccer 2008,4,3,27,82,2008-03-11
FIFA Soccer 10,4,1,3,90,2009-10-20
Guitar Hero: World Tour,8,8,2,84,2008-10-26
The Simpsons: Road Rage,7,3,4,61,2001-11-24
Star Wars Battlefront,2,3,13,81,2004-09-20
Doom II,2,6,10,93,1994-09-30
Assassin's Creed Syndicate,1,2,8,86,2015-10-23
Star Wars Battlefront II,2,3,13,85,2005-11-01
Cooking Mama 2: Dinner With Friends,6,10,14,69,2007-11-13
The Getaway,1,3,9,77,2003-01-19
Tomb Raider III: Adventures of Lara Croft,11,9,18,82,1998-11-21
Grand Theft Auto: Liberty City Stories,1,3,1,83,2006-06-06
Battlefield 4,2,4,4,87,2013-10-29
Batman: Arkham Asylum,1,4,18,91,2009-08-25
Resident Evil 5,1,4,22,86,2009-03-13
Assassin's Creed: Brotherhood,1,4,8,91,2010-11-16
LEGO Star Wars: The Video Game,1,3,18,79,2005-04-02
FIFA Soccer 11,4,4,3,87,2010-09-28
NBA 2K17,4,2,31,90,2016-09-16
FIFA Soccer 2004,4,3,3,80,2003-11-04
Borderlands,2,4,34,83,2009-10-20
Battlefield: Bad Company 2,2,4,4,90,2010-03-02
Mario & Sonic at the Olympic Winter Games,4,10,21,76,2009-10-13
Guitar Hero: On Tour,8,10,2,71,2008-06-22
Tekken 4,9,3,12,79,2002-09-23
LEGO Batman: The Videogame,11,4,15,75,2008-09-23
Halo: The Master Chief Collection,2,5,6,88,2014-11-11
LittleBigPlanet 2,10,1,9,91,2011-01-18
Grand Theft Auto 2,1,9,1,69,1999-10-25
Destiny,2,5,2,83,2014-09-09
Spider-Man 2,1,3,2,79,2004-06-28
Crash Bash,8,9,9,68,2000-11-06
The Elder Scrolls V: Skyrim Special Edition,5,2,7,83,2016-10-28
Assassin's Creed IV: Black Flag,3,4,8,85,2013-10-29
NBA 2K18,4,2,31,81,2017-09-19
Max Payne,2,3,1,81,2001-12-06
Madden NFL 16,4,2,3,82,2015-08-25
The Lord of the Rings: The Return of the King,1,3,4,84,2003-11-05
Madden NFL 17,4,2,3,85,2016-08-23
FIFA 16,4,5,3,85,2015-09-22
L.A. Noire,11,1,1,91,2011-11-15
007: Tomorrow Never Dies,2,9,4,62,1999-11-16
WWF SmackDown! 2: Know Your Role,9,9,32,87,2000-11-21
Assassin's Creed IV: Black Flag,3,2,8,83,2013-11-15
Assassin's Creed Odyssey,3,2,8,95,2018-10-05
Fallout: New Vegas,5,1,7,82,2010-10-19
Club Penguin: Elite Penguin Force,11,10,36,70,2008-11-25
