title,platform,total_sales,na_sales,jp_sales,pal_sales,other_sales
Grand Theft Auto V,PS3,20.32,6.37,0.99,9.85,3.12
Grand Theft Auto V,PS4,19.39,6.06,0.6,9.71,3.02
Grand Theft Auto: Vice City,PS2,16.15,8.41,0.47,5.49,1.78
Call of Duty: Black Ops 3,PS4,15.09,6.18,0.41,6.05,2.44
Call of Duty: Modern Warfare 3,X360,14.82,9.07,0.13,4.29,1.33
Call of Duty: Black Ops,X360,14.74,9.76,0.11,3.73,1.14
Red Dead Redemption 2,PS4,13.94,5.26,0.21,6.21,2.26
Call of Duty: Black Ops II,X360,13.86,8.27,0.07,4.32,1.2
Call of Duty: Black Ops II,PS3,13.8,4.99,0.65,5.88,2.28
Call of Duty: Modern Warfare 2,X360,13.53,8.54,0.08,3.63,1.28
Call of Duty: WWII,PS4,13.4,4.67,0.4,6.21,2.12
Call of Duty: Modern Warfare 3,PS3,13.35,5.54,0.49,5.78,1.54
Grand Theft Auto III,PS2,13.1,6.99,0.3,4.51,1.3
Call of Duty: Black Ops,PS3,12.67,6.01,0.48,4.4,1.78
FIFA 18,PS4,11.8,1.27,0.15,8.64,1.73
Grand Theft Auto IV,X360,11.09,6.8,0.14,3.11,1.04
FIFA 17,PS4,10.94,1.26,0.12,7.95,1.61
Call of Duty: Modern Warfare 2,PS3,10.61,4.99,0.38,3.66,1.59
Grand Theft Auto IV,PS3,10.57,4.79,0.44,3.73,1.62
Call of Duty: Ghosts,X360,10.41,6.76,0.04,2.64,0.98
Call of Duty: Ghosts,PS3,10.13,4.11,0.39,4.01,1.62
Halo: Reach,X360,9.97,7.08,0.08,2.01,0.8
Call of Duty 4: Modern Warfare,X360,9.41,5.98,0.13,2.39,0.91
The Elder Scrolls V: Skyrim,X360,8.88,5.1,0.1,2.83,0.85
Grand Theft Auto V,XOne,8.72,4.7,0.01,3.25,0.76
Call of Duty: Infinite Warfare,PS4,8.48,3.11,0.19,3.83,1.36
Fallout 4,PS4,8.48,2.91,0.27,3.97,1.34
FIFA 16,PS4,8.22,1.15,0.07,5.77,1.23
Star Wars Battlefront (2015),PS4,8.03,3.31,0.23,3.19,1.3
The Sims 3,PC,7.96,1.01,,6.46,0.5
Grand Theft Auto: Liberty City Stories,PSP,7.72,2.9,0.24,2.83,1.74
Call of Duty: Advanced Warfare,PS4,7.53,2.84,0.14,3.34,1.22
Call of Duty: World at War,X360,7.5,4.88,,1.91,0.71
Battlefield 3,X360,7.35,4.47,0.06,2.12,0.69
Battlefield 1,PS4,7.26,2.2,0.29,3.65,1.12
Battlefield 3,PS3,7.21,2.86,0.35,2.94,1.07
Need for Speed Underground,PS2,7.2,3.27,0.08,2.83,1.02
Need for Speed Underground 2,PS2,6.9,2.71,0.08,3.02,1.09
Medal of Honor: Frontline,PS2,6.83,2.93,0.17,2.75,0.99
Uncharted 2: Among Thieves,PS3,6.74,3.28,0.21,2.22,1.02
Call of Duty 4: Modern Warfare,PS3,6.72,3.13,0.28,2.27,1.04
FIFA Soccer 12,PS3,6.65,0.84,0.11,4.33,1.37
Red Dead Redemption,PS3,6.57,2.82,0.17,2.58,1.0
Red Dead Redemption,X360,6.5,3.77,0.09,2.03,0.6
Assassin's Creed III,PS3,6.5,2.65,0.16,2.61,1.08
The Elder Scrolls V: Skyrim,PS3,6.49,2.57,0.25,2.68,0.99
Minecraft,PS4,6.33,1.89,0.35,3.13,0.96
FIFA 15,PS4,6.32,0.83,0.05,4.49,0.94
Driver,PS,6.27,3.11,0.02,2.8,0.33
Tekken 2,PS,5.74,2.26,1.36,1.89,0.23
LEGO Star Wars: The Complete Saga,Wii,5.66,3.57,,1.57,0.52
Cooking Mama,DS,5.66,3.09,0.07,1.92,0.58
