game_id,na_sales,jp_sales,pal_sales,other_sales,total_sales
1,6.37,0.99,9.85,3.12,20.32
2,6.06,0.6,9.71,3.02,19.39
3,8.41,0.47,5.49,1.78,16.15
4,6.18,0.41,6.05,2.44,15.09
5,9.07,0.13,4.29,1.33,14.82
6,9.76,0.11,3.73,1.14,14.74
7,5.26,0.21,6.21,2.26,13.94
8,8.27,0.07,4.32,1.2,13.86
9,4.99,0.65,5.88,2.28,13.8
10,8.54,0.08,3.63,1.28,13.53
11,4.67,0.4,6.21,2.12,13.4
12,5.54,0.49,5.78,1.54,13.35
13,6.99,0.3,4.51,1.3,13.1
14,6.01,0.48,4.4,1.78,12.67
15,1.27,0.15,8.64,1.73,11.8
16,6.8,0.14,3.11,1.04,11.09
17,1.26,0.12,7.95,1.61,10.94
18,4.99,0.38,3.66,1.59,10.61
19,4.79,0.44,3.73,1.62,10.57
20,6.76,0.04,2.64,0.98,10.41
21,4.11,0.39,4.01,1.62,10.13
22,7.08,0.08,2.01,0.8,9.97
23,5.98,0.13,2.39,0.91,9.41
24,5.1,0.1,2.83,0.85,8.88
25,4.7,0.01,3.25,0.76,8.72
26,3.11,0.19,3.83,1.36,8.48
27,2.91,0.27,3.97,1.34,8.48
28,1.15,0.07,5.77,1.23,8.22
29,3.31,0.23,3.19,1.3,8.03
30,1.01,,6.46,0.5,7.96
31,2.9,0.24,2.83,1.74,7.72
32,2.84,0.14,3.34,1.22,7.53
33,4.88,,1.91,0.71,7.5
34,4.47,0.06,2.12,0.69,7.35
35,2.2,0.29,3.65,1.12,7.26
36,2.86,0.35,2.94,1.07,7.21
37,3.27,0.08,2.83,1.02,7.2
38,2.71,0.08,3.02,1.09,6.9
39,2.93,0.17,2.75,0.99,6.83
40,3.28,0.21,2.22,1.02,6.74
41,3.13,0.28,2.27,1.04,6.72
42,0.84,0.11,4.33,1.37,6.65
43,2.82,0.17,2.58,1.0,6.57
44,3.77,0.09,2.03,0.6,6.5
45,2.65,0.16,2.61,1.08,6.5
46,2.57,0.25,2.68,0.99,6.49
47,1.89,0.35,3.13,0.96,6.33
48,0.83,0.05,4.49,0.94,6.32
49,3.11,0.02,2.8,0.33,6.27
50,2.26,1.36,1.89,0.23,5.74
51,3.57,,1.57,0.52,5.66
52,3.09,0.07,1.92,0.58,5.66
53,2.54,0.21,1.95,0.86,5.57
54,3.28,0.07,1.64,0.56,5.55
55,2.72,0.11,1.89,0.82,5.54
56,2.99,0.1,1.9,0.51,5.5
57,2.75,,1.84,0.84,5.43
58,2.07,0.24,2.29,0.82,5.42
59,1.75,1.87,1.23,0.51,5.35
60,3.14,0.08,1.55,0.52,5.3
61,2.3,0.2,2.46,0.28,5.24
62,4.26,0.01,0.26,0.71,5.23
63,3.25,0.01,1.49,0.48,5.22
64,1.98,0.13,2.23,0.8,5.13
65,3.37,0.02,1.26,0.48,5.13
66,3.22,,1.69,0.2,5.12
67,3.81,,0.63,0.68,5.12
68,1.63,0.44,2.46,0.57,5.1
69,3.59,0.05,1.09,0.37,5.1
70,1.96,1.08,1.42,0.64,5.1
71,0.61,0.06,3.28,1.12,5.08
72,1.7,0.16,2.03,1.19,5.08
73,1.81,1.05,1.53,0.68,5.07
74,2.94,0.02,1.62,0.45,5.03
75,3.42,0.02,1.38,0.2,5.02
76,3.49,0.01,0.01,1.48,4.98
77,2.32,0.12,1.73,0.8,4.97
78,3.41,0.09,0.99,0.46,4.96
79,3.98,0.01,0.26,0.66,4.91
80,1.91,0.09,2.01,0.82,4.83
81,2.57,0.44,1.57,0.21,4.79
82,2.83,,1.49,0.45,4.77
83,2.99,0.04,1.28,0.44,4.75
84,2.36,0.02,2.1,0.25,4.73
85,1.73,,2.19,0.79,4.7
86,3.05,0.02,1.41,0.2,4.68
87,1.94,0.08,1.95,0.7,4.67
88,2.29,0.13,1.97,0.24,4.63
89,2.08,0.06,1.98,0.49,4.6
90,3.04,0.0,1.12,0.44,4.6
91,0.59,0.04,3.25,0.68,4.56
92,1.87,0.22,1.97,0.48,4.54
93,1.84,0.17,1.8,0.73,4.54
94,3.19,0.01,0.91,0.42,4.53
95,4.18,0.01,0.26,0.08,4.53
96,2.71,0.03,1.51,0.23,4.48
97,2.89,0.13,1.03,0.41,4.47
98,2.66,0.01,1.29,0.46,4.41
99,0.1,1.05,2.39,0.86,4.39
100,2.03,0.08,1.79,0.47,4.37
